

Measurement ID,6324
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1271
Program,168 - MSM_Rate_2C
Start Time,8/20/2020 11:18:15 AM
End Time,8/21/2020 1:34:12 AM
Test section,TS006017
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],
5,PAU,0.016,0.431,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,120.089,120.504,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,240.043,240.458,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,360.079,360.494,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,480.171,480.586,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,600.024,600.439,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,720.153,720.568,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,840.114,840.529,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,960.072,960.487,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,1080.119,1080.534,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,1200.090,1200.505,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,1320.089,1320.504,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,1440.116,1440.531,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,1560.096,1560.511,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,1680.175,1680.590,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,1800.048,1800.463,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,1920.165,1920.580,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,2040.081,2040.496,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,2160.050,2160.465,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,2280.060,2280.475,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,2400.071,2400.486,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,2520.051,2520.466,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,2640.074,2640.489,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,2760.118,2760.533,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,2880.062,2880.477,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,3000.112,3000.527,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,3120.063,3120.478,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,3240.036,3240.451,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,3360.083,3360.498,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,3480.038,3480.453,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,3600.063,3600.478,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,3720.052,3720.467,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,3840.155,3840.570,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,3960.019,3960.434,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,4080.037,4080.452,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,4200.131,4200.546,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,4320.160,4320.575,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,4440.075,4440.490,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,4560.032,4560.447,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,4680.106,4680.521,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,4800.045,4800.460,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,4920.115,4920.530,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,5040.038,5040.453,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,5160.071,5160.486,0,0,MSM_Rate_2C,4.14321,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,5280.105,5280.520,0,0,MSM_Rate_2C,4.14310,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
