

Measurement ID,6344
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1266
Program,167 - MSM_Rate_1C
Start Time,8/24/2020 10:58:08 AM
End Time,8/25/2020 5:20:06 AM
Test section,TS006037
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,LogTemp002,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],[T2],
5,PAU,0.015,0.297,0,0,MSM_Rate_1C,3.16378,0.00000,0.00000,0.00000,0.00000,0.00000,9.70000,0.00000,
5,PAU,120.123,120.405,0,0,MSM_Rate_1C,3.16389,0.00000,0.00000,0.00000,0.00000,0.00000,9.70000,0.00000,
5,PAU,240.069,240.351,0,0,MSM_Rate_1C,3.16389,0.00000,0.00000,0.00000,0.00000,0.00000,9.60000,0.00000,
5,PAU,360.138,360.420,0,0,MSM_Rate_1C,3.16389,0.00000,0.00000,0.00000,0.00000,0.00000,9.60000,0.00000,
5,PAU,480.135,480.417,0,0,MSM_Rate_1C,3.16400,0.00000,0.00000,0.00000,0.00000,0.00000,9.60000,0.00000,
5,PAU,600.100,600.382,0,0,MSM_Rate_1C,3.16400,0.00000,0.00000,0.00000,0.00000,0.00000,9.60000,0.00000,
5,PAU,720.096,720.378,0,0,MSM_Rate_1C,3.16400,0.00000,0.00000,0.00000,0.00000,0.00000,9.60000,0.00000,
5,PAU,840.126,840.408,0,0,MSM_Rate_1C,3.16400,0.00000,0.00000,0.00000,0.00000,0.00000,9.60000,0.00000,
5,PAU,960.109,960.391,0,0,MSM_Rate_1C,3.16411,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,1080.110,1080.392,0,0,MSM_Rate_1C,3.16411,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,1200.170,1200.452,0,0,MSM_Rate_1C,3.16411,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,1320.162,1320.444,0,0,MSM_Rate_1C,3.16423,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,1440.188,1440.470,0,0,MSM_Rate_1C,3.16423,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,1560.174,1560.456,0,0,MSM_Rate_1C,3.16423,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,1680.077,1680.359,0,0,MSM_Rate_1C,3.16434,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,1800.206,1800.488,0,0,MSM_Rate_1C,3.16434,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,1920.100,1920.382,0,0,MSM_Rate_1C,3.16434,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,2040.131,2040.413,0,0,MSM_Rate_1C,3.16434,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,2160.116,2160.398,0,0,MSM_Rate_1C,3.16445,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,2280.214,2280.496,0,0,MSM_Rate_1C,3.16445,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,2400.149,2400.431,0,0,MSM_Rate_1C,3.16445,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,2520.100,2520.382,0,0,MSM_Rate_1C,3.16445,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,2640.117,2640.399,0,0,MSM_Rate_1C,3.16456,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,2760.187,2760.469,0,0,MSM_Rate_1C,3.16456,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,2880.123,2880.405,0,0,MSM_Rate_1C,3.16456,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,3000.197,3000.479,0,0,MSM_Rate_1C,3.16456,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,3120.106,3120.388,0,0,MSM_Rate_1C,3.16467,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,3240.168,3240.450,0,0,MSM_Rate_1C,3.16467,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,3360.113,3360.395,0,0,MSM_Rate_1C,3.16467,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,3480.189,3480.471,0,0,MSM_Rate_1C,3.16467,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,3600.085,3600.367,0,0,MSM_Rate_1C,3.16478,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,3720.155,3720.437,0,0,MSM_Rate_1C,3.16478,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,3840.182,3840.464,0,0,MSM_Rate_1C,3.16478,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,3960.117,3960.399,0,0,MSM_Rate_1C,3.16478,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,4080.117,4080.399,0,0,MSM_Rate_1C,3.16478,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,4200.108,4200.390,0,0,MSM_Rate_1C,3.16489,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,4320.136,4320.418,0,0,MSM_Rate_1C,3.16489,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,4440.256,4440.538,0,0,MSM_Rate_1C,3.16489,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,4560.110,4560.392,0,0,MSM_Rate_1C,3.16500,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,4680.098,4680.380,0,0,MSM_Rate_1C,3.16500,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,4800.181,4800.463,0,0,MSM_Rate_1C,3.16500,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,4920.134,4920.416,0,0,MSM_Rate_1C,3.16511,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,5040.096,5040.378,0,0,MSM_Rate_1C,3.16500,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,5160.130,5160.412,0,0,MSM_Rate_1C,3.16511,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,5280.114,5280.396,0,0,MSM_Rate_1C,3.16511,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,5400.208,5400.490,0,0,MSM_Rate_1C,3.16511,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,5520.113,5520.395,0,0,MSM_Rate_1C,3.16511,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,5640.152,5640.434,0,0,MSM_Rate_1C,3.16523,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,5760.243,5760.525,0,0,MSM_Rate_1C,3.16523,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,5880.100,5880.382,0,0,MSM_Rate_1C,3.16523,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,6000.192,6000.474,0,0,MSM_Rate_1C,3.16523,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,6120.116,6120.398,0,0,MSM_Rate_1C,3.16523,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,6240.136,6240.418,0,0,MSM_Rate_1C,3.16534,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,6360.149,6360.431,0,0,MSM_Rate_1C,3.16534,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,6480.125,6480.407,0,0,MSM_Rate_1C,3.16534,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,6600.139,6600.421,0,0,MSM_Rate_1C,3.16534,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,6720.171,6720.453,0,0,MSM_Rate_1C,3.16545,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,6840.093,6840.375,0,0,MSM_Rate_1C,3.16545,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,6960.067,6960.349,0,0,MSM_Rate_1C,3.16545,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,7080.143,7080.425,0,0,MSM_Rate_1C,3.16545,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,7200.127,7200.409,0,0,MSM_Rate_1C,3.16556,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
5,PAU,7200.127,7200.409,0,0,MSM_Rate_1C,3.16556,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
7,RANGE,0.000,7200.539,1,1,MSM_Rate_1C,3.16556,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
7,RANGE,0.000,7200.539,1,1,MSM_Rate_1C,3.16556,0.00000,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
8,CHA,0.000,7200.539,1,1,MSM_Rate_1C,3.26418,1.66726,0.00000,0.00000,0.00000,0.00000,9.50000,0.00000,
8,CHA,0.118,7200.657,1,1,MSM_Rate_1C,3.28397,1.66798,0.00014,0.00000,0.00046,5.47758,9.50000,0.00000,
8,CHA,0.372,7200.911,1,1,MSM_Rate_1C,3.29775,1.66869,0.00024,0.00000,0.00078,5.50294,9.50000,0.00000,
8,CHA,0.512,7201.051,1,1,MSM_Rate_1C,3.30943,1.66941,0.00032,0.00000,0.00106,5.52479,9.50000,0.00000,
8,CHA,1.041,7201.580,1,1,MSM_Rate_1C,3.31788,1.66977,0.00055,0.00000,0.00182,5.54008,9.50000,0.00000,
8,CHA,1.205,7201.744,1,1,MSM_Rate_1C,3.31966,1.66977,0.00062,0.00000,0.00206,5.54305,9.50000,0.00000,
8,CHA,2.058,7202.597,1,1,MSM_Rate_1C,3.32377,1.66977,0.00097,0.00000,0.00321,5.54918,9.50000,0.00000,
8,CHA,3.082,7203.621,1,1,MSM_Rate_1C,3.32722,1.66977,0.00150,0.00000,0.00496,5.55567,9.50000,0.00000,
8,CHA,4.018,7204.557,1,1,MSM_Rate_1C,3.32933,1.66977,0.00185,0.00000,0.00614,5.55901,9.50000,0.00000,
8,CHA,4.163,7204.702,1,1,MSM_Rate_1C,3.32977,1.66977,0.00198,0.00000,0.00657,5.55994,9.50000,0.00000,
8,CHA,5.018,7205.557,1,1,MSM_Rate_1C,3.33155,1.67012,0.00241,0.00000,0.00799,5.56410,9.50000,0.00000,
8,CHA,6.110,7206.649,1,1,MSM_Rate_1C,3.33378,1.67012,0.00285,0.00000,0.00946,5.56726,9.50000,0.00000,
8,CHA,7.097,7207.636,1,1,MSM_Rate_1C,3.33556,1.67012,0.00334,0.00000,0.01112,5.57079,9.50000,0.00000,
8,CHA,8.000,7208.539,1,1,MSM_Rate_1C,3.33722,1.66977,0.00376,0.00000,0.01252,5.57302,9.50000,0.00000,
