

Measurement ID,6322
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1268
Program,168 - MSM_Rate_2C
Start Time,8/20/2020 11:17:21 AM
End Time,8/21/2020 1:33:24 AM
Test section,TS006015
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTempPositive,LogTempMid,LogTempNegative,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],[T1],[T1],
5,PAU,0.014,0.176,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,120.078,120.240,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,240.100,240.262,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,360.105,360.267,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,480.105,480.267,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,600.177,600.339,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,720.113,720.275,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,840.139,840.301,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,960.065,960.227,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,1080.133,1080.295,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,1200.114,1200.276,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,1320.056,1320.218,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,1440.146,1440.308,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,1560.160,1560.322,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,1680.074,1680.236,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,1800.077,1800.239,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,1920.069,1920.231,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,2040.096,2040.258,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,2160.049,2160.211,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,2280.070,2280.232,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,2400.083,2400.245,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,2520.152,2520.314,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,2640.142,2640.304,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,2760.158,2760.320,0,0,MSM_Rate_2C,4.14369,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
