

Measurement ID,6441,
Battery Name,LG M50,
Battery Type,
Circuit,MCCD_1266,
Program,167 - MSM_Rate_1C,
Start Time,8/26/2020 12:00:37 PM,
End Time,8/27/2020 6:30:55 AM,
Test section,TS006129,
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1]
5,PAU,0.064,0.275,0,0,MSM_Rate_1C,3.21448,0,0,0,0,0,-0.4
5,PAU,120.101,120.312,0,0,MSM_Rate_1C,3.21459,0,0,0,0,0,-0.4
5,PAU,240.129,240.34,0,0,MSM_Rate_1C,3.2147,0,0,0,0,0,-0.4
5,PAU,360.109,360.32,0,0,MSM_Rate_1C,3.2147,0,0,0,0,0,-0.4
5,PAU,480.114,480.325,0,0,MSM_Rate_1C,3.2147,0,0,0,0,0,-0.4
5,PAU,600.199,600.41,0,0,MSM_Rate_1C,3.2147,0,0,0,0,0,-0.4
5,PAU,720.178,720.389,0,0,MSM_Rate_1C,3.21481,0,0,0,0,0,-0.4
5,PAU,840.113,840.324,0,0,MSM_Rate_1C,3.21481,0,0,0,0,0,-0.4
5,PAU,960.223,960.434,0,0,MSM_Rate_1C,3.21481,0,0,0,0,0,-0.4
5,PAU,1080.103,1080.314,0,0,MSM_Rate_1C,3.21481,0,0,0,0,0,-0.4
5,PAU,1200.095,1200.306,0,0,MSM_Rate_1C,3.21492,0,0,0,0,0,-0.4
5,PAU,1320.116,1320.327,0,0,MSM_Rate_1C,3.21492,0,0,0,0,0,-0.4
5,PAU,1440.222,1440.433,0,0,MSM_Rate_1C,3.21492,0,0,0,0,0,-0.4
5,PAU,1560.114,1560.325,0,0,MSM_Rate_1C,3.21492,0,0,0,0,0,-0.4
5,PAU,1680.093,1680.304,0,0,MSM_Rate_1C,3.21492,0,0,0,0,0,-0.4
5,PAU,1800.128,1800.339,0,0,MSM_Rate_1C,3.21504,0,0,0,0,0,-0.4
5,PAU,1920.139,1920.35,0,0,MSM_Rate_1C,3.21504,0,0,0,0,0,-0.4
5,PAU,2040.098,2040.309,0,0,MSM_Rate_1C,3.21504,0,0,0,0,0,-0.4
5,PAU,2160.148,2160.359,0,0,MSM_Rate_1C,3.21504,0,0,0,0,0,-0.4
5,PAU,2280.079,2280.29,0,0,MSM_Rate_1C,3.21515,0,0,0,0,0,-0.4
5,PAU,2400.083,2400.294,0,0,MSM_Rate_1C,3.21515,0,0,0,0,0,-0.4
5,PAU,2520.142,2520.353,0,0,MSM_Rate_1C,3.21515,0,0,0,0,0,-0.4
5,PAU,2640.094,2640.305,0,0,MSM_Rate_1C,3.21515,0,0,0,0,0,-0.4
5,PAU,2760.094,2760.305,0,0,MSM_Rate_1C,3.21515,0,0,0,0,0,-0.4
5,PAU,2880.152,2880.363,0,0,MSM_Rate_1C,3.21515,0,0,0,0,0,-0.4
5,PAU,3000.105,3000.316,0,0,MSM_Rate_1C,3.21526,0,0,0,0,0,-0.4
5,PAU,3120.124,3120.335,0,0,MSM_Rate_1C,3.21526,0,0,0,0,0,-0.4
5,PAU,3240.1,3240.311,0,0,MSM_Rate_1C,3.21526,0,0,0,0,0,-0.4
5,PAU,3360.127,3360.338,0,0,MSM_Rate_1C,3.21526,0,0,0,0,0,-0.4
5,PAU,3480.128,3480.339,0,0,MSM_Rate_1C,3.21526,0,0,0,0,0,-0.4
5,PAU,3600.112,3600.323,0,0,MSM_Rate_1C,3.21537,0,0,0,0,0,-0.4
5,PAU,3720.099,3720.31,0,0,MSM_Rate_1C,3.21537,0,0,0,0,0,-0.4
5,PAU,3840.092,3840.303,0,0,MSM_Rate_1C,3.21537,0,0,0,0,0,-0.4
5,PAU,3960.115,3960.326,0,0,MSM_Rate_1C,3.21537,0,0,0,0,0,-0.4
5,PAU,4080.107,4080.318,0,0,MSM_Rate_1C,3.21537,0,0,0,0,0,-0.4
5,PAU,4200.085,4200.296,0,0,MSM_Rate_1C,3.21548,0,0,0,0,0,-0.4
5,PAU,4320.145,4320.356,0,0,MSM_Rate_1C,3.21548,0,0,0,0,0,-0.4
5,PAU,4440.204,4440.415,0,0,MSM_Rate_1C,3.21548,0,0,0,0,0,-0.4
5,PAU,4560.12,4560.331,0,0,MSM_Rate_1C,3.21548,0,0,0,0,0,-0.4
5,PAU,4680.17,4680.381,0,0,MSM_Rate_1C,3.21559,0,0,0,0,0,-0.4
5,PAU,4800.117,4800.328,0,0,MSM_Rate_1C,3.21559,0,0,0,0,0,-0.4
5,PAU,4920.146,4920.357,0,0,MSM_Rate_1C,3.21559,0,0,0,0,0,-0.4
5,PAU,5040.172,5040.383,0,0,MSM_Rate_1C,3.21559,0,0,0,0,0,-0.4
5,PAU,5160.168,5160.379,0,0,MSM_Rate_1C,3.21559,0,0,0,0,0,-0.4
5,PAU,5280.072,5280.283,0,0,MSM_Rate_1C,3.21559,0,0,0,0,0,-0.4
5,PAU,5400.103,5400.314,0,0,MSM_Rate_1C,3.21559,0,0,0,0,0,-0.4
5,PAU,5520.164,5520.375,0,0,MSM_Rate_1C,3.2157,0,0,0,0,0,-0.4
5,PAU,5640.179,5640.39,0,0,MSM_Rate_1C,3.2157,0,0,0,0,0,-0.4
5,PAU,5760.103,5760.314,0,0,MSM_Rate_1C,3.2157,0,0,0,0,0,-0.4
5,PAU,5880.131,5880.342,0,0,MSM_Rate_1C,3.2157,0,0,0,0,0,-0.4
5,PAU,6000.09,6000.301,0,0,MSM_Rate_1C,3.21581,0,0,0,0,0,-0.4
5,PAU,6120.169,6120.38,0,0,MSM_Rate_1C,3.21581,0,0,0,0,0,-0.4
5,PAU,6240.112,6240.323,0,0,MSM_Rate_1C,3.21581,0,0,0,0,0,-0.4
5,PAU,6360.158,6360.369,0,0,MSM_Rate_1C,3.21581,0,0,0,0,0,-0.4
5,PAU,6480.226,6480.437,0,0,MSM_Rate_1C,3.21581,0,0,0,0,0,-0.4
5,PAU,6600.157,6600.368,0,0,MSM_Rate_1C,3.21592,0,0,0,0,0,-0.4
5,PAU,6720.132,6720.343,0,0,MSM_Rate_1C,3.21592,0,0,0,0,0,-0.4
5,PAU,6840.109,6840.32,0,0,MSM_Rate_1C,3.21592,0,0,0,0,0,-0.4
