

Measurement ID,6341
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1262
Program,167 - MSM_Rate_1C
Start Time,24/08/2020 10:56:50
End Time,25/08/2020 05:09:25
Test section,TS006034
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTempPositive,LogTempMid,LogTempNegative,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],[T1],[T1],
5,PAU,0.013,0.272,0,0,MSM_Rate_1C,3.19203,0.00000,0.00000,0.00000,0.00000,0.00000,9.90000,10.00000,9.90000,
5,PAU,120.099,120.358,0,0,MSM_Rate_1C,3.19215,0.00000,0.00000,0.00000,0.00000,0.00000,9.90000,9.90000,9.90000,
5,PAU,240.109,240.368,0,0,MSM_Rate_1C,3.19215,0.00000,0.00000,0.00000,0.00000,0.00000,9.90000,10.00000,9.90000,
5,PAU,360.044,360.303,0,0,MSM_Rate_1C,3.19215,0.00000,0.00000,0.00000,0.00000,0.00000,10.00000,10.00000,9.90000,
5,PAU,480.145,480.404,0,0,MSM_Rate_1C,3.19215,0.00000,0.00000,0.00000,0.00000,0.00000,9.90000,10.00000,9.90000,
5,PAU,600.076,600.335,0,0,MSM_Rate_1C,3.19215,0.00000,0.00000,0.00000,0.00000,0.00000,9.90000,9.90000,9.90000,
5,PAU,720.063,720.322,0,0,MSM_Rate_1C,3.19226,0.00000,0.00000,0.00000,0.00000,0.00000,9.90000,10.00000,9.90000,
5,PAU,840.068,840.327,0,0,MSM_Rate_1C,3.19226,0.00000,0.00000,0.00000,0.00000,0.00000,9.90000,10.00000,9.90000,
5,PAU,960.146,960.405,0,0,MSM_Rate_1C,3.19226,0.00000,0.00000,0.00000,0.00000,0.00000,9.90000,10.00000,9.90000,
5,PAU,1080.039,1080.298,0,0,MSM_Rate_1C,3.19226,0.00000,0.00000,0.00000,0.00000,0.00000,9.90000,10.00000,9.90000,
